Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Exp_Prob                 
0                        0.008710768421490987     131072                   3.5257115364074707       7.291723728179932        12008                    3.4035565853118896       7.434277534484863        14599                    5.959596157073975        5.961742401123047        -0.0021465576719492674   0.02042083814740181      0.9995988011360168       0.0                      2.007606029510498        1.8193435668945312       0.07259266823530197      0.25057658553123474      0.08477327972650528      0.44591689109802246      1.5166610479354858       0.29576343297958374      1.248735785484314        1.0                      
100                      0.17987185802724626      13238272                 6.8912553787231445       10.188841819763184       10093                    5.358354091644287        9.306245803833008        1405316                  0.5222980380058289       0.5291590094566345       -0.006860900204628706    0.0671844482421875       0.9995197653770447       0.0                      0.018690969794988632     0.7323768734931946       0.07372991740703583      0.192349374294281        0.06296321004629135      0.31208276748657227      1.0752989053726196       0.2855554521083832       0.8588025569915771       1.0                      
200                      0.34650703503025904      26345472                 10.42832088470459        14.665396690368652       9946                     9.277021408081055        14.11524772644043        925726                   0.7987596392631531       0.8082577586174011       -0.009498127736151218    0.04030304029583931      0.9998286366462708       0.0                      0.018140781670808792     0.9019531607627869       0.10503748059272766      0.20766471326351166      0.058226436376571655     0.27418944239616394      1.0383461713790894       0.3627081513404846       0.887200117111206        1.0                      
300                      0.5099627539184358       39452672                 12.75195026397705        17.220294952392578       8634                     11.732105255126953       17.250598907470703       757102                   0.9886276125907898       0.9978251457214355       -0.009197532199323177    0.03958587720990181      1.0000370740890503       0.0                      -0.005954950116574764    1.002363920211792        0.10792052745819092      0.183405801653862        0.05236635357141495      0.24296808242797852      0.9826711416244507       0.3165939450263977       0.8215312957763672       1.0                      
400                      0.6736120053132375       52559872                 14.746532440185547       19.826915740966797       8198                     13.697881698608398       20.006654739379883       652428                   1.076762080192566        1.0848978757858276       -0.008135884068906307    0.04073791578412056      0.999621570110321        0.0                      0.02247464656829834      1.0438143014907837       0.105963334441185        0.18921679258346558      0.05251618102192879      0.2488619089126587       1.0158201456069946       0.27055174112319946      0.811462938785553        1.0                      
500                      0.8376580121119818       65667072                 17.38970947265625        23.46238136291504        8666                     15.641497611999512       22.87721061706543        570170                   1.3824788331985474       1.3906883001327515       -0.008209239691495895    0.04729309305548668      0.9999351501464844       0.0                      0.016091983765363693     1.1818357706069946       0.10941080003976822      0.19903743267059326      0.053305964916944504     0.25060224533081055      1.087493658065796        0.24778802692890167      0.8696742653846741       1.0                      
600                      1.003515255384975        78774272                 20.370555877685547       27.768434524536133       9967                     17.647489547729492       25.899301528930664       503231                   1.9846174716949463       1.9933923482894897       -0.008774830959737301    0.05188598856329918      0.9998480081558228       0.0                      -0.000848123338073492    1.4158611297607422       0.11215919256210327      0.21060246229171753      0.056001532822847366     0.2604281008243561       1.171258807182312        0.23760147392749786      0.9202659726142883       1.0                      
700                      1.1678746090332668       91881472                 21.468536376953125       29.161396026611328       9616                     19.680086135864258       29.004369735717773       448930                   2.299661874771118        2.309650182723999        -0.009987834841012955    0.05628051981329918      0.9997749328613281       0.0                      0.035649895668029785     1.5244348049163818       0.1086878627538681       0.2082912176847458       0.05650901794433594      0.2601756751537323       1.196765422821045        0.2356073260307312       0.9226748943328857       1.0                      
800                      1.3285588471094767       104988672                22.688907623291016       30.505943298339844       9341                     21.771711349487305       32.127193450927734       405068                   2.0078861713409424       2.022000312805176        -0.01411417406052351     0.06068878248333931      0.9998942613601685       1.2854179942678456e-08   0.004530133679509163     1.4256737232208252       0.1034473329782486       0.2142685502767563       0.05462484061717987      0.2563422620296478       1.2267632484436035       0.22448799014091492      0.9102022051811218       1.0                      
900                      1.4891273204485576       118095872                23.37729835510254        31.13249969482422        9600                     23.526750564575195       34.64424514770508        375444                   1.7083008289337158       1.7271934747695923       -0.018892286345362663    0.06463775783777237      0.9998568892478943       3.4659515790735895e-07   0.013854505494236946     1.3196487426757812       0.1032235249876976       0.2171941101551056       0.05253244936466217      0.2443886399269104       1.2457326650619507       0.2221948802471161       0.9256524443626404       1.0                      
1000                     1.649996457695961        131203072                24.86195182800293        33.411094665527344       9409                     25.042394638061523       36.655765533447266       354595                   1.514143943786621        1.5355336666107178       -0.02138984017074108     0.07870178669691086      0.9998806118965149       1.2543270031528664e-06   0.00269889272749424      1.2456117868423462       0.11385153234004974      0.2309626191854477       0.05368157476186752      0.2553933560848236       1.2556307315826416       0.24073396623134613      0.9828086495399475       1.0                      
1100                     1.811498754951689        144310272                25.5302734375            34.1042366027832         9190                     26.579450607299805       38.900089263916016       333938                   1.2269867658615112       1.249308705329895        -0.022321779280900955    0.06450500339269638      1.0001150369644165       9.451840924157295e-06    0.02360207587480545      1.1230690479278564       0.10785560309886932      0.25001052021980286      0.054834362119436264     0.2580447494983673       1.2438726425170898       0.22042851150035858      1.0210853815078735       1.0                      
1200                     1.9726725547181236       157417472                25.777067184448242       34.2281608581543         9217                     27.466751098632812       40.07429504394531        324092                   1.3176878690719604       1.3456138372421265       -0.027925876900553703    0.07330780476331711      0.9998205304145813       1.6720439816708677e-05   -0.012648047879338264    1.1656004190444946       0.10068966448307037      0.24991744756698608      0.05368436500430107      0.25859299302101135      1.2478969097137451       0.21595272421836853      1.0389280319213867       1.0                      
1300                     2.1341742798354892       170524672                27.036802291870117       35.49101257324219        8829                     28.22517967224121        40.95793914794922        317040                   1.034767985343933        1.0600244998931885       -0.02525651454925537     0.07664185017347336      0.999910295009613        1.7123747966252267e-05   -0.00010636355727910995  1.034605622291565        0.09622621536254883      0.25174233317375183      0.050515126436948776     0.24507403373718262      1.2583955526351929       0.22029484808444977      1.0418782234191895       1.0                      
1400                     2.2967363113827175       183631872                27.190780639648438       35.67049789428711        8777                     29.08656883239746        41.88965606689453        309929                   1.0698574781417847       1.095090627670288        -0.025233184918761253    0.07533111423254013      0.9999601244926453       2.7464269805932418e-05   -0.005489467643201351    1.0517065525054932       0.09623726457357407      0.2580772340297699       0.05126629397273064      0.24309830367565155      1.2580933570861816       0.22375164926052094      1.06173574924469         1.0                      
1500                     2.4639014428191715       196739072                28.18758201599121        36.664424896240234       8776                     29.687641143798828       42.47102355957031        305664                   1.000694990158081        1.0231695175170898       -0.02247469685971737     0.08183898776769638      0.9996561408042908       3.409619239391759e-05    0.007017863914370537     1.018650770187378        0.09398660808801651      0.25644752383232117      0.04967942088842392      0.23334148526191711      1.2461903095245361       0.22211143374443054      1.054219126701355        1.0                      
1600                     2.627889029383659        209846272                28.401521682739258       36.65120315551758        8598                     30.218278884887695       42.9245491027832         302478                   0.8041016459465027       0.8274171948432922       -0.023315435275435448    0.08813323825597763      0.9999440312385559       3.087781078647822e-05    -0.002210584469139576    0.9143654108047485       0.08987686783075333      0.253361314535141        0.04808928444981575      0.22687141597270966      1.2280340194702148       0.21691511571407318      1.0193394422531128       1.0                      
1700                     2.7920778716935053       222953472                28.76981544494629        36.849151611328125       8605                     30.700729370117188       43.3486442565918         299444                   0.6979047656059265       0.7111644148826599       -0.01325957477092743     0.09378661960363388      1.0001002550125122       3.5026267141802236e-05   0.021931175142526627     0.8500544428825378       0.08922967314720154      0.2505330443382263       0.04702475294470787      0.2219957709312439       1.2082067728042603       0.21570417284965515      0.9988275766372681       1.0                      
1800                     2.9557711765501233       236060672                29.328603744506836       37.26812744140625        8496                     31.106298446655273       43.65645217895508        297355                   0.7009214758872986       0.7160468101501465       -0.015125351957976818    0.08394165337085724      1.0001634359359741       4.2543331801425666e-05   0.014131220057606697     0.8576771020889282       0.08651953935623169      0.24618111550807953      0.04587411880493164      0.21567894518375397      1.1928470134735107       0.212693989276886        1.0024291276931763       1.0                      
1900                     3.121189536386066        249167872                29.50529670715332        37.35307693481445        8474                     31.536962509155273       43.98966979980469        295066                   0.6525392532348633       0.670097291469574        -0.017557958140969276    0.09128265827894211      1.000011682510376        4.186756632407196e-05    0.010713640600442886     0.8250832557678223       0.08284230530261993      0.24668124318122864      0.044942378997802734     0.2136862426996231       1.1835823059082031       0.2094249278306961       0.9802153706550598       1.0                      
2000                     3.2856056324640908       262275072                29.760560989379883       37.41902542114258        8510                     31.899829864501953       44.284507751464844       293128                   0.5931578278541565       0.6148816347122192       -0.021723810583353043    0.08500976860523224      0.9994139671325684       4.2954205127898604e-05   -0.000597857404500246    0.7925121188163757       0.08372708410024643      0.24576415121555328      0.044171929359436035     0.20799972116947174      1.1672966480255127       0.20713865756988525      0.9670025110244751       1.0                      
2100                     3.4495749537812337       275382272                30.190359115600586       37.81165313720703        8368                     32.26090621948242        44.58034133911133        291198                   0.6874891519546509       0.7149155139923096       -0.027426375076174736    0.08402862399816513      0.9999812245368958       3.8579266401939094e-05   -0.012645460665225983    0.8525123000144958       0.08042861521244049      0.23989145457744598      0.04274752363562584      0.20145323872566223      1.1598601341247559       0.20410223305225372      0.9456221461296082       1.0                      
2200                     3.6199585374858643       288489472                30.463056564331055       38.082122802734375       8439                     32.455177307128906       44.67965316772461        290495                   0.5892025828361511       0.6169913411140442       -0.02778874710202217     0.07989044487476349      0.9996272325515747       4.385493593872525e-05    -0.010996393859386444    0.7901557683944702       0.0793902575969696       0.24416415393352509      0.042305219918489456     0.1988556683063507       1.1635594367980957       0.20237547159194946      0.9346377849578857       1.0                      
2300                     3.7841385049952403       301596672                30.639190673828125       38.10707092285156        8378                     32.66510772705078        44.81199645996094        289671                   0.7058308720588684       0.7364908456802368       -0.030659997835755348    0.08168487995862961      1.000199794769287        4.3461568566272035e-05   -0.0039509255439043045   0.8676201105117798       0.07676984369754791      0.24355848133563995      0.0414237417280674       0.19435909390449524      1.151237964630127        0.1985846310853958       0.9036394953727722       1.0                      
2400                     3.945714169740677        314703872                31.045866012573242       38.70158004760742        8388                     32.92548370361328        45.06293869018555        288042                   0.46978479623794556      0.4945254325866699       -0.024740679189562798    0.08400268852710724      0.9999637603759766       5.165089896763675e-05    -0.004501406103372574    0.7116963267326355       0.0776907280087471       0.240936741232872        0.0414791963994503       0.19411922991275787      1.160103440284729        0.1982937753200531       0.9005756378173828       1.0                      
2500                     4.107065712412198        327811072                31.04361343383789        38.728973388671875       8376                     33.148399353027344       45.3608512878418         286106                   0.33110272884368896      0.3467821776866913       -0.01567949168384075     0.10205383598804474      1.00015389919281         5.718575630453415e-05    0.00954470969736576      0.5928592681884766       0.07573423534631729      0.2410777509212494       0.04052673652768135      0.19161610305309296      1.1792255640029907       0.20036892592906952      0.8815284371376038       1.0                      
2600                     4.268720643586582        340918272                31.551223754882812       40.00273132324219        8442                     33.46548080444336        45.8872184753418         282834                   0.46195387840270996      0.4721364676952362       -0.010182506404817104    0.11484070122241974      1.000028133392334        6.475648115156218e-05    0.006727997679263353     0.6911066770553589       0.07641955465078354      0.2423398345708847       0.04186297208070755      0.1982405036687851       1.2380750179290771       0.20852826535701752      0.9047640562057495       1.0                      
2700                     4.432780257529682        354025472                43.72591781616211        55.47397232055664        8214                     35.41718292236328        49.699012756347656       260516                   6.362083435058594        6.363048076629639        -0.0009651100262999535   0.12686920166015625      1.000076174736023        7.001973426667973e-05    -0.00639989972114563     2.5373706817626953       0.09569165110588074      0.22181189060211182      0.04254833981394768      0.2079886645078659       1.2633557319641113       0.20939427614212036      0.9547035098075867       1.0                      
2800                     4.600565337273809        367132672                44.84178161621094        56.4964599609375         8037                     41.140647888183594       58.60775375366211        220365                   6.569273471832275        6.576146602630615        -0.006874603219330311    0.13280029594898224      0.9999796152114868       5.016318755224347e-05    0.008293095044791698     2.5851540565490723       0.07871196419000626      0.2152547985315323       0.04237274453043938      0.20446711778640747      1.2783894538879395       0.1987476646900177       0.9342683553695679       1.0                      
2900                     4.763375787536304        380239872                47.40484619140625        59.751197814941406       7692                     45.8116455078125         65.31129455566406        197546                   5.007485389709473        5.023252487182617        -0.01576608419418335     0.11102600395679474      1.0002245903015137       3.399287743377499e-05    -0.019568320363759995    2.2543959617614746       0.08081965893507004      0.1983260214328766       0.04377644881606102      0.20805847644805908      1.289175033569336        0.20063833892345428      0.918485164642334        1.0                      
3000                     4.926665886971685        393347072                48.96747589111328        61.31297302246094        7448                     48.840999603271484       69.18915557861328        186470                   3.68708872795105         3.710942029953003        -0.023853300139307976    0.10842438042163849      1.0000174045562744       4.077720222994685e-05    -0.00874414760619402     1.923196792602539        0.07274014502763748      0.2039133906364441       0.042189259082078934     0.20529915392398834      1.2956427335739136       0.19608628749847412      0.9186849594116211       1.0                      
3100                     5.089405997594198        406454272                49.277923583984375       61.38568878173828        7423                     50.80037307739258        71.3057632446289         180886                   2.7108867168426514       2.7385451793670654       -0.02765841782093048     0.11556091159582138      1.0000683069229126       3.6854045902146026e-05   0.018920887261629105     1.6665130853652954       0.0700291320681572       0.199890598654747        0.040860116481781006     0.2002933770418167       1.2984061241149902       0.19127477705478668      0.9258186221122742       1.0                      
3200                     5.2523623806238176       419561472                49.444114685058594       61.40956497192383        7403                     51.94511795043945        72.40169525146484        178213                   2.316132068634033        2.3473622798919678       -0.031230170279741287    0.10308837890625         1.0001977682113647       4.098814315511845e-05    -0.014944042079150677    1.5493991374969482       0.07274962961673737      0.19453740119934082      0.03990118205547333      0.19883227348327637      1.2988163232803345       0.1988089233636856       0.9100443720817566       1.0                      
3300                     5.415489239626461        432668672                50.77597427368164        62.58675765991211        7337                     53.03322982788086        73.37944030761719        175814                   2.03121280670166         2.062831163406372        -0.03161801025271416     0.09804230183362961      1.0005258321762085       4.081197766936384e-05    -0.013955207541584969    1.458607792854309        0.06980053335428238      0.19265635311603546      0.0388137623667717       0.19305910170078278      1.2850067615509033       0.19349464774131775      0.9058114886283875       1.0                      
3400                     5.578139935533206        445775872                50.37447738647461        61.68685531616211        7367                     53.76084518432617        73.80294799804688        174803                   1.3675363063812256       1.3916716575622559       -0.024135464802384377    0.10825806111097336      0.9997750520706177       3.670345904538408e-05    0.03367557376623154      1.1962095499038696       0.070234514772892        0.18701474368572235      0.037547316402196884     0.18699976801872253      1.2815098762512207       0.19226686656475067      0.8969831466674805       1.0                      
3500                     5.740693573819266        458883072                50.769386291503906       61.741756439208984       7400                     54.39555358886719        74.1982421875            173811                   1.2127996683120728       1.2410989999771118       -0.028299346566200256    0.09427948296070099      1.000342607498169        3.4433891414664686e-05   0.011018719524145126     1.1313000917434692       0.07111800462007523      0.18350625038146973      0.03610646352171898      0.18102866411209106      1.2660034894943237       0.1898193359375          0.8810262680053711       1.0                      
3600                     5.90273042983479         471990272                52.15552520751953        63.235923767089844       7244                     54.862430572509766       74.3743667602539         173350                   1.1807235479354858       1.210981845855713        -0.03025786392390728     0.09285125881433487      1.000281810760498        3.2201736757997423e-05   -0.02079540118575096     1.1128932237625122       0.06886447221040726      0.18105927109718323      0.0358610637485981       0.18293224275112152      1.2547221183776855       0.18839985132217407      0.8520474433898926       1.0                      
3700                     6.0721874769528705       485097472                52.52817153930664        63.485008239746094       7274                     55.187931060791016       74.50312042236328        173094                   0.6543033719062805       0.6687158346176147       -0.014412342570722103    0.10633697360754013      1.0003384351730347       3.559750257409178e-05    0.014807554893195629     0.8348247408866882       0.06768280267715454      0.17542721331119537      0.036154791712760925     0.18052326142787933      1.2556474208831787       0.1904052346944809       0.8498736023902893       1.0                      
3800                     6.2363280089696245       498204672                52.79538345336914        63.44828796386719        7190                     55.655418395996094       74.7548828125            172594                   0.9772152900695801       1.0047167539596558       -0.027501283213496208    0.09091491997241974      1.0004068613052368       4.141591125517152e-05    0.006773389410227537     1.0169404745101929       0.06605707108974457      0.17439746856689453      0.03495510667562485      0.1762513965368271       1.248747706413269        0.18878605961799622      0.8427966833114624       1.0                      
