Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Diversity_Loss           Disc_Loss                Disc_Grad_Penalty        Disc_Agent_Acc           Disc_Demo_Acc            Disc_Agent_Logit         Disc_Demo_Logit          Disc_Logit_Loss          Disc_Weight_Decay        Enc_Loss                 Disc_Reward_Mean         Disc_Reward_Std          Enc_Reward_Mean          Enc_Reward_Std           Adv_Mean                 Adv_Std                  Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.009648103581534492     131072                   0.0                      38.19607162475586        6921                     0.0                      22.1821346282959         1153                     43.11745071411133        21.023681640625          0.0009076531860046089    0.03987274318933487      0.9994177222251892       0.0                      0.9999973177909851       4.426551342010498        0.41983819007873535      0.949755847454071        0.86541748046875         -0.8436831831932068      0.5459797978401184       178.3425750732422        1027.801025390625        -0.007979858666658401    0.8887064456939697       0.27378571033477783      0.04969882220029831      0.0726403146982193       4.543074131011963        1.9487088918685913       0.3625507950782776       0.3420976400375366       1.0                      
200                      0.2733404739697774       26345472                 0.0                      61.31181335449219        8377                     0.0                      51.40380859375           507264                   6.554728984832764        0.6623209714889526       -0.0005172127275727689   0.16189269721508026      0.9991686940193176       0.0                      0.9988520741462708       1.396661639213562        0.017244255170226097     0.94781494140625         0.9999634027481079       -2.759901285171509       2.0306992530822754       111.90196990966797       461.237060546875         -0.21807661652565002     0.4102279543876648       0.6427245736122131       0.21762028336524963      0.10863497108221054      -0.03817011043429375     0.8284734487533569       0.32671216130256653      0.3254903554916382       1.0                      
400                      0.5379128017690447       52559872                 0.0                      223.2125244140625        4423                     0.0                      126.43949890136719       202763                   3.9571380615234375       0.9548735022544861       0.0008729651453904808    0.15646973252296448      0.9999871253967285       0.0                      0.9965371489524841       0.9631638526916504       0.02246486209332943      0.9775024652481079       0.999401867389679        -1.719497561454773       1.8005253076553345       62.82664108276367        279.6672058105469        -0.362885445356369       0.4207926392555237       0.3682393431663513       0.3615034818649292       0.11803195625543594      0.11497227102518082      1.013169765472412        0.3248016834259033       0.3124063313007355       1.0                      
600                      0.7985987796386083       78774272                 0.0                      238.1825408935547        4317                     0.0                      235.0731964111328        109016                   2.153355360031128        1.2537932395935059       -0.006888070609420538    0.15319977700710297      0.9996814727783203       0.0                      0.9941062331199646       0.6278519034385681       0.022550424560904503     0.9838623404502869       0.9997802972793579       -1.7090628147125244      1.8326982259750366       30.71841812133789        169.13668823242188       -0.4465619623661041      0.41106751561164856      0.3976749777793884       0.44403159618377686      0.1220000684261322       0.018995802849531174     1.1723384857177734       0.32317373156547546      0.3019801676273346       1.0                      
800                      1.0606880095932218       104988672                0.0                      274.4292907714844        4135                     0.0                      258.5823974609375        99017                    1.0111931562423706       1.3096776008605957       -0.0109151815995574      0.18428650498390198      0.9998978972434998       3.307361282622878e-07    0.9923591613769531       0.4266624450683594       0.022622503340244293     0.985827624797821        1.0                      -1.8120768070220947      1.8395687341690063       11.789627075195312       122.37145233154297       -0.4841762185096741      0.3846808671951294       0.35887446999549866      0.4821101427078247       0.12298358231782913      0.006171755027025938     1.2195911407470703       0.32243889570236206      0.2973441779613495       1.0                      
1000                     1.316050941016939        131203072                0.0                      277.1568298339844        4132                     0.0                      277.4004211425781        92699                    0.47626543045043945      1.3245221376419067       -0.016526805236935616    0.1761123687028885       0.9998584985733032       2.927393154550373e-07    0.9901973605155945       0.34215614199638367      0.02294575423002243      0.98663330078125         0.99993896484375         -1.7411316633224487      1.786692500114441        2.9870455265045166       106.8336410522461        -0.508502185344696       0.4094644784927368       0.3401247560977936       0.5064609050750732       0.11682046204805374      0.0346212275326252       1.2362545728683472       0.3220180571079254       0.2961418032646179       1.0                      
1200                     1.5755483779642316       157417472                0.0                      285.00048828125          4114                     0.0                      282.6542053222656        91078                    0.3322702944278717       1.3363544940948486       -0.015083909034729004    0.173481747508049        1.0004571676254272       2.8870836104033515e-06   0.9878497123718262       0.3273334205150604       0.02342870645225048      0.988452136516571        0.9998535513877869       -1.656173586845398       1.7299314737319946       0.5677160620689392       114.21855926513672       -0.5251334309577942      0.3925744295120239       0.27862539887428284      0.5223349332809448       0.11288560926914215      -0.05605880171060562     1.2375707626342773       0.3215973377227783       0.29694995284080505      1.0                      
1400                     1.8310415594445335       183631872                0.0                      290.0375671386719        4099                     0.0                      286.8360900878906        89940                    0.26728686690330505      1.2444088459014893       -0.014951481483876705    0.164276123046875        1.0001050233840942       4.950753918819828e-06    0.9866933822631836       0.3387410640716553       0.023939860984683037     0.989758312702179        1.0                      -1.5674703121185303      1.6554415225982666       0.38548919558525085      110.7525405883789        -0.5311751365661621      0.41554558277130127      0.25847533345222473      0.5291088819503784       0.11111880838871002      -0.003361622802913189    1.2149817943572998       0.3212813436985016       0.297723650932312        1.0                      
1600                     2.080081096821361        209846272                0.0                      292.7314758300781        4100                     0.0                      289.56689453125          89074                    0.045684535056352615     1.035218596458435        -0.01248124148696661     0.16887207329273224      1.0011595487594604       4.953921234118752e-06    0.9844409823417664       0.3483176529407501       0.024322176352143288     0.992175281047821        1.0                      -1.5090152025222778      1.6079908609390259       0.36662864685058594      106.75582122802734       -0.5437282919883728      0.4255102872848511       0.21835631132125854      0.5422191619873047       0.10528791695833206      0.0044347201474010944    1.1118758916854858       0.3210565149784088       0.29885023832321167      1.0                      
1800                     2.3272479368580714       236060672                0.0                      294.379638671875         4099                     0.0                      290.7542419433594        88737                    0.09991269558668137      1.0584137439727783       -0.011105403304100037    0.177134707570076        0.9993767738342285       5.774528744950658e-06    0.9831380248069763       0.35497233271598816      0.024464301764965057     0.992541491985321        0.9997192621231079       -1.4744272232055664      1.5662001371383667       0.36782675981521606      105.23429107666016       -0.5444514751434326      0.4345126748085022       0.2034384310245514       0.5426671504974365       0.1044381633400917       -0.034778203815221786    1.1320151090621948       0.32080039381980896      0.30040428042411804      1.0                      
