Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Pose_Err                 Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Exp_Prob                 
1000                     1.031907919049263        131203072                228.42440795898438       282.668701171875         4108                     201.34458923339844       276.18658447265625       44859                    0.8340440988540649       0.844920814037323        -0.01087674219161272     0.06039276346564293      0.9995887875556946       3.825508372301556e-07    0.033278100192546844     0.9522521495819092       0.07514216005802155      0.10794688016176224      0.05252747982740402      0.21247082948684692      1.7254339456558228       0.23752593994140625      0.5365195870399475       1.0                      
1100                     1.1117360765404172       144310272                236.7594757080078        286.3714904785156        4105                     210.02969360351562       279.85626220703125       44217                    0.436063289642334        0.44001516699790955      -0.003951843827962875    0.06096344068646431      1.000032901763916        1.4537905599354417e-06   0.0005801069783046842    0.6589240431785583       0.06738383322954178      0.09234527498483658      0.04792474955320358      0.1981855183839798       1.6624640226364136       0.22361662983894348      0.4845103323459625       1.0                      
1200                     1.1885832118325763       157417472                246.0915069580078        292.74139404296875       4099                     217.5238800048828        283.47882080078125       43625                    0.7712245583534241       0.7829374670982361       -0.011712978594005108    0.05947418138384819      0.9998568892478943       1.3509049949789187e-06   0.0187059435993433       0.9153596758842468       0.0632362961769104       0.0851922333240509       0.04474323242902756      0.18791598081588745      1.6077814102172852       0.21346667408943176      0.43873390555381775      1.0                      
1300                     1.2621397677395079       170524672                255.3668670654297        299.2509765625           4096                     226.9701690673828        290.3517761230469        42495                    0.4292074143886566       0.4379279315471649       -0.008720431476831436    0.05822448804974556      0.999881386756897        4.5231513468024787e-07   0.0033141677267849445    0.6556135416030884       0.0621127113699913       0.08592097461223602      0.04143388196825981      0.17970694601535797      1.5478712320327759       0.2023448795080185       0.39962172508239746      1.0                      
1400                     1.3324100510941612       183631872                258.18878173828125       299.384765625            4096                     234.35240173339844       295.5928649902344        41654                    0.2892617881298065       0.29666921496391296      -0.007407471537590027    0.07069244235754013      0.9999032020568848       8.388521877122912e-08    0.0040924581699073315    0.5335317254066467       0.05912117287516594      0.07921527326107025      0.04044875130057335      0.17326760292053223      1.4925646781921387       0.19576431810855865      0.3827041685581207       1.0                      
1500                     1.400555329322815        196739072                260.5299987792969        299.5185852050781        4096                     238.3681182861328        296.7851867675781        41466                    0.23394612967967987      0.24427857995033264      -0.010332496836781502    0.07588043063879013      0.9994792938232422       2.285503164500824e-08    0.008686767891049385     0.47675463557243347      0.05619975924491882      0.0744611993432045       0.038828667253255844     0.16761121153831482      1.4474239349365234       0.19222494959831238      0.35912227630615234      1.0                      
1600                     1.4668245811594858       209846272                262.10772705078125       299.17333984375          4096                     241.89024353027344       297.82763671875          41298                    0.4520087242126465       0.4643726944923401       -0.01236388087272644     0.05395202711224556      0.9999432563781738       1.1376857145251051e-07   -0.010276616550981998    0.6784078478813171       0.05651504546403885      0.06657140702009201      0.03670920431613922      0.1608274281024933       1.402757167816162        0.1895867884159088       0.3412645161151886       1.0                      
1700                     1.5314821949270037       222953472                264.2906188964844        299.6570129394531        4096                     244.66690063476562       298.1673278808594        41243                    0.12414156645536423      0.12729287147521973      -0.0031512887217104435   0.08041229099035263      0.9996505975723267       5.315488920132339e-07    0.013635039329528809     0.35732302069664         0.056116774678230286     0.06805861741304398      0.0362863764166832       0.1534063071012497       1.3605480194091797       0.18549218773841858      0.33118560910224915      1.0                      
1800                     1.5945748180150985       236060672                265.88775634765625       299.86572265625          4096                     247.59413146972656       298.9120788574219        41126                    0.10107841342687607      0.10412576049566269      -0.0030473393853753805   0.08508606255054474      1.0000799894332886       3.3899145819304977e-06   0.014132439158856869     0.3183514177799225       0.06048576161265373      0.06679077446460724      0.034858908504247665     0.1484188288450241       1.319532036781311        0.18127380311489105      0.3216160237789154       1.0                      
1900                     1.6571432475248973       249167872                267.48040771484375       299.725341796875         4096                     249.64710998535156       299.0664367675781        41103                    0.09110211580991745      0.094675213098526        -0.0035730896051973104   0.089508056640625        1.000031590461731        4.170350166532444e-06    -0.000734016764909029    0.3108803927898407       0.05057009309530258      0.0665484368801117       0.0340442918241024       0.14465856552124023      1.280229926109314        0.17486527562141418      0.3142780363559723       1.0                      
2000                     1.7190770918793148       262275072                268.938720703125         299.9314270019531        4096                     251.59580993652344       299.2666931152344        41071                    0.07347007840871811      0.07553794234991074      -0.002067871391773224    0.09751129150390625      0.999921977519989        3.872194156429032e-06    0.011942300945520401     0.272052526473999        0.0503392294049263       0.06415169686079025      0.033429503440856934     0.139940544962883        1.2535721063613892       0.1709429919719696       0.3076604902744293       1.0                      
2100                     1.7794917687442569       275382272                269.4503173828125        299.5210266113281        4096                     253.24908447265625       299.3648681640625        41054                    0.06853508204221725      0.06982863694429398      -0.001293547684326768    0.11005401611328125      0.9998669624328613       1.1756955245800782e-05   0.008948284201323986     0.26348358392715454      0.053505752235651016     0.06116955727338791      0.03242087364196777      0.13597045838832855      1.2258867025375366       0.1675567477941513       0.29786980152130127      1.0                      
2200                     1.8396433725621966       288489472                270.08465576171875       299.384521484375         4096                     254.5725860595703        299.4468688964844        41041                    0.06221010163426399      0.06356668472290039      -0.001356587396003306    0.11330872029066086      0.9999459385871887       1.0817786460393108e-05   0.010906387120485306     0.25091737508773804      0.04743395745754242      0.06113191694021225      0.03179102763533592      0.13598088920116425      1.209682583808899        0.16440045833587646      0.3005852699279785       1.0                      
2300                     1.900359694759051        301596672                271.8168640136719        300.0                    4096                     255.8320770263672        299.4108581542969        41048                    0.0651739314198494       0.06645902991294861      -0.0012850912753492594   0.10839539021253586      0.9995619058609009       1.5362036720034666e-05   0.004100141581147909     0.252826064825058        0.04417188838124275      0.05973375588655472      0.03139939531683922      0.13233959674835205      1.1886858940124512       0.16187317669391632      0.29377976059913635      1.0                      
2400                     1.9607836935917538       314703872                272.40179443359375       300.0                    4096                     256.9803771972656        299.4902648925781        41037                    0.05534830689430237      0.05872026085853577      -0.0033719472121447325   0.11027374118566513      0.999674916267395        1.6508241969859228e-05   0.007239720318466425     0.2424858659505844       0.043886952102184296     0.06099512055516243      0.030305393040180206     0.130966916680336        1.1754568815231323       0.16045048832893372      0.29779893159866333      1.0                      
