Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Agent_Acc           Disc_Demo_Acc            Disc_Agent_Logit         Disc_Demo_Logit          Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Exp_Prob                 
0                        0.050459624462657504     131072                   3.9981439113616943       19.650497436523438       13648                    4.091360092163086        19.060623168945312       4668                     149.84947204589844       92.03661346435547        -0.0030108655337244272   0.03432617336511612      1.0000030994415283       0.0                      11.5631742477417         1.8667585849761963       176.0282440185547        0.8667373657226562       0.8952804803848267       -1.0837839841842651      0.9121553301811218       11.566633224487305       5.732423782348633        2.9385738372802734       1.7963521480560303       1.0                      
100                      0.20914824770556556      13238272                 5.111902236938477        21.04556655883789        10974                    4.5790863037109375       21.3068790435791         612925                   8.026045799255371        0.509503960609436        -0.004792907740920782    0.07534027099609375      1.0001273155212402       0.0                      1.5042670965194702       0.07497834414243698      84.48468780517578        0.8477126955986023       1.0                      -2.6321945190429688      1.505859375              -0.004725201055407524    0.7167603969573975       0.5309349894523621       0.8093904852867126       1.0                      
200                      0.36912513766023847      26345472                 6.744279384613037        27.58912467956543        16365                    5.910625457763672        23.73843765258789        549426                   6.401383399963379        1.1952604055404663       -0.005438496358692646    0.06827087700366974      0.9999330639839172       0.0                      1.0423121452331543       0.044758543372154236     49.950218200683594       0.8433303833007812       0.9995620846748352       -1.9530502557754517      1.3083628416061401       0.0010066174436360598    1.098655104637146        0.6115984320640564       0.7524468302726746       1.0                      
300                      0.5291800193654166       39452672                 9.280170440673828        41.49468231201172        11943                    7.829521656036377        34.32978820800781        379152                   6.35913610458374         2.291250228881836        -0.004843305330723524    0.05383911356329918      0.9996866583824158       0.0                      0.8145458102226257       0.03721967712044716      29.762109756469727       0.8789092898368835       0.999499499797821        -1.4983959197998047      1.2159141302108765       0.002810716163367033     1.5185458660125732       0.6239745616912842       0.6366533637046814       1.0                      
400                      0.6888377400901583       52559872                 14.14072036743164        56.97311019897461        8888                     10.245196342468262       45.33892059326172        286355                   6.960439205169678        3.67742919921875         -0.006306201219558716    0.05408630520105362      1.0000203847885132       0.0                      0.6578633189201355       0.02927597425878048      17.926706314086914       0.9005295038223267       0.9988479614257812       -1.4135866165161133      1.1786302328109741       0.008971885778009892     1.9226832389831543       0.6172214150428772       0.5836097002029419       1.0                      
500                      0.8524907212787204       65667072                 99.42724609375           255.84571838378906       4259                     29.909997940063477       99.27188873291016        126297                   14.420587539672852       11.76791000366211        -0.016824940219521523    0.06315308064222336      1.0002492666244507       4.796335701939825e-07    0.5338999629020691       0.027464477345347404     11.203717231750488       0.9748382568359375       0.9995926022529602       -1.4037388563156128      1.3408820629119873       0.1584700644016266       3.441969871520996        0.5018888711929321       0.35808804631233215      1.0                      
600                      1.012413432266977        78774272                 127.28056335449219       288.006103515625         4106                     104.86832427978516       254.9939727783203        49018                    12.726675033569336       10.201258659362793       -0.021271001547574997    0.05125579982995987      1.0002095699310303       2.346761675653397e-06    0.5093377232551575       0.025286544114351273     7.321269989013672        0.9832504391670227       0.9982666373252869       -1.2468150854110718      1.2259798049926758       -0.03908488154411316     3.2028634548187256       0.5434763431549072       0.2876678705215454       1.0                      
700                      1.1697713522116344       91881472                 134.34475708007812       291.8946533203125        4101                     120.93576049804688       274.0853576660156        45462                    12.858955383300781       10.382527351379395       -0.02306116558611393     0.05428314208984375      1.0000274181365967       1.776991666702088e-06    0.49989819526672363      0.02437635324895382      4.9709625244140625       0.9879348874092102       0.998370349407196        -1.1584619283676147      1.1348222494125366       -0.14957480132579803     3.2536892890930176       0.5813150405883789       0.25666093826293945      1.0                      
800                      1.325421360267533        104988672                133.45372009277344       291.9714660644531        4099                     126.06127166748047       280.48321533203125       44319                    14.98809814453125        12.4956636428833         -0.02261742576956749     0.08903961628675461      1.0003074407577515       3.487110461719567e-06    0.5030096173286438       0.022243915125727654     3.493680238723755        0.9900131225585938       0.9777420163154602       -1.0497249364852905      1.06588876247406         -0.5776652097702026      3.564413070678711        0.633136510848999        0.23151583969593048      1.0                      
900                      1.4790763664245605       118095872                151.62969970703125       293.1485595703125        4100                     128.59408569335938       283.6374206542969        43762                    17.393003463745117       15.109498977661133       -0.021360818296670914    0.08608093112707138      1.0003629922866821       8.660904313728679e-06    0.46097299456596375      0.022961638867855072     2.6106796264648438       0.9661880731582642       0.9997909665107727       -1.284271478652954       1.1140377521514893       -1.2882349491119385      4.050149440765381        0.5478914976119995       0.31755149364471436      1.0                      
1000                     1.6328550257285437       131203072                124.38272857666016       291.30072021484375       4100                     133.17088317871094       285.7537536621094        43389                    17.421667098999023       14.982322692871094       -0.01885962300002575     0.07574005424976349      1.0006078481674194       9.478345418756362e-06    0.49164071679115295      0.020620910450816154     2.0531609058380127       0.99224853515625         0.9585601687431335       -1.0406378507614136      1.0114147663116455       -1.572831630706787       3.93998384475708         0.6345676183700562       0.2074783444404602       1.0                      
