Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Exp_Prob                 
0                        0.003665739099184672     131072                   3.5577468872070312       9.668476104736328        6078                     3.506186008453369        9.850666999816895        10902                    2.3800389766693115       2.383646249771118        -0.0036074623931199312   0.0241241455078125       1.0004106760025024       0.0                      1.3737847805023193       0.9933802485466003       1.0                      
100                      0.13238845785458883      13238272                 7.724564075469971        16.38129997253418        4385                     5.353484153747559        13.552608489990234       964653                   0.432373046875           0.44094738364219666      -0.008574352599680424    0.09236755222082138      0.9998330473899841       0.0                      0.010741310194134712     0.6692838072776794       1.0                      
200                      0.26186889694796667      26345472                 14.025925636291504       26.006481170654297       4320                     10.34317398071289        20.79399299621582        627748                   1.1310471296310425       1.1394926309585571       -0.008445318788290024    0.09033508598804474      1.0001171827316284       0.0                      0.0016309358179569244    1.0729795694351196       1.0                      
300                      0.3939661950535244       39452672                 22.012495040893555       36.37970733642578        8059                     16.46201515197754        30.054319381713867       433594                   3.038455009460449        3.046114921569824        -0.007660280913114548    0.09559936821460724      1.000339388847351        0.0                      0.012863941490650177     1.7539993524551392       1.0                      
400                      0.5293210820357005       52559872                 27.288644790649414       43.289520263671875       15045                    21.540258407592773       36.70237731933594        354780                   3.732870101928711        3.7400290966033936       -0.007158804684877396    0.08116608113050461      0.9998394250869751       0.0                      0.047280363738536835     1.9399824142456055       1.0                      
500                      0.6632512595918444       65667072                 29.090333938598633       46.01120376586914        9452                     23.95254898071289        39.9257698059082         325969                   4.05950403213501         4.065564155578613        -0.006060307379812002    0.08378753811120987      0.9997875094413757       0.0                      -0.0867314264178276      2.024611473083496        1.0                      
600                      0.7978632658057743       78774272                 31.3882999420166         48.914764404296875       11218                    26.262197494506836       43.30613327026367        300223                   5.003146648406982        5.009103298187256        -0.005955891218036413    0.08071136474609375      0.999846875667572        0.0                      0.11951768398284912      2.258948564529419        1.0                      
700                      0.9336999477942785       91881472                 44.18305969238281        68.59791564941406        10342                    29.188020706176758       47.83479690551758        271490                   6.294112682342529        6.300724506378174        -0.006612320430576801    0.08610077202320099      0.9996490478515625       0.0                      0.13453292846679688      2.5374879837036133       1.0                      
800                      1.071438388493326        104988672                67.15769958496094        105.34504699707031       8370                     35.107505798339844       57.81529235839844        223906                   10.893282890319824       10.899460792541504       -0.006175526417791843    0.08561249077320099      0.9997548460960388       2.9153019553973536e-08   0.01725953072309494      3.315387010574341        1.0                      
900                      1.2094259413745667       118095872                159.5014190673828        240.02090454101562       4353                     47.765254974365234       79.43170166015625        161908                   17.477636337280273       17.484493255615234       -0.006859596353024244    0.08466949313879013      1.0003465414047241       5.5888467187514834e-08   -0.07112912833690643     4.215611457824707        1.0                      
1000                     1.3456562356816397       131203072                188.2696075439453        279.85040283203125       4110                     73.31560516357422        123.14799499511719       102871                   24.942750930786133       24.952260971069336       -0.009508698247373104    0.09196777641773224      1.0000532865524292       1.0605172207078795e-07   0.12536689639091492      5.037084102630615        1.0                      
