Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Agent_Acc           Disc_Demo_Acc            Disc_Agent_Logit         Disc_Demo_Logit          Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Exp_Prob                 
0                        0.031546015739440915     131072                   0.0                      15.972161293029785       6502                     0.0                      15.878835678100586       6000                     199.0044708251953        142.1175079345703        -0.003871173830702901    0.03685150295495987      1.0002754926681519       0.0                      11.378164291381836       1.8269954919815063       183.05331420898438       0.8277755975723267       0.9376205801963806       -1.3075059652328491      1.5934326648712158       13.834024429321289       9.323087692260742        2.2094855308532715       2.007974863052368        1.0                      
100                      0.15717022988531323      13238272                 0.0                      21.407041549682617       10107                    0.0                      19.50883674621582        669250                   8.355311393737793        0.26820841431617737      -0.011493183672428131    0.12793274223804474      1.0003751516342163       0.0                      1.619719386100769        0.07142072916030884      97.91617584228516        0.8625686764717102       1.0                      -2.10890531539917        1.5383628606796265       -0.011018316261470318    0.5259227156639099       0.525719165802002        0.7589961886405945       1.0                      
200                      0.2860242906543944       26345472                 0.0                      29.384265899658203       13142                    0.0                      25.890626907348633       503575                   6.648342132568359        1.1452305316925049       -0.0077889361418783665   0.08502807468175888      0.9998193979263306       0.0                      1.1021798849105835       0.0393061600625515       60.21147537231445        0.8721237182617188       1.0                      -1.7296562194824219      1.3730158805847168       0.000605502282269299     1.0795375108718872       0.5678000450134277       0.6845410466194153       1.0                      
300                      0.4142002190483941       39452672                 0.0                      32.706153869628906       12959                    0.0                      32.89903259277344        396147                   5.531042575836182        1.2257083654403687       -0.005595266353338957    0.0878448486328125       0.999504566192627        0.0                      0.8621857762336731       0.03265757113695145      37.81089401245117        0.8794891238212585       1.0                      -1.6148039102554321      1.2553902864456177       -0.023847604170441628    1.112845778465271        0.5950772762298584       0.630980372428894        1.0                      
400                      0.5449261761373944       52559872                 0.0                      62.24838638305664        10476                    0.0                      40.22334671020508        322701                   9.042437553405762        5.677581787109375        -0.003668881254270673    0.06678924709558487      0.9997644424438477       4.166551832440746e-07    0.6737050414085388       0.026997506618499756     23.8692569732666         0.9136199951171875       1.0                      -1.7283014059066772      1.2988556623458862       0.04579739272594452      2.39249587059021         0.540002703666687        0.5634464621543884       1.0                      
500                      0.6749883039792379       65667072                 0.0                      271.2572326660156        4140                     0.0                      79.10053253173828        160178                   19.40766716003418        16.64754295349121        -0.004826656077057123    0.08111877739429474      0.9998882412910461       2.9424394597299397e-05   0.5529899001121521       0.026644034311175346     15.37028694152832        0.9697906374931335       1.0                      -1.680723786354065       1.399124026298523        0.13970567286014557      4.094919204711914        0.449655145406723        0.37396204471588135      1.0                      
600                      0.8018273928430345       78774272                 0.0                      285.17529296875          4107                     0.0                      221.37039184570312       56511                    10.350471496582031       7.756211757659912        -0.02372167818248272     0.06563873589038849      1.000549077987671        5.047596914664609e-06    0.5235959887504578       0.025949014350771904     10.166304588317871       0.9819732904434204       1.0                      -1.34211003780365        1.2783654928207397       0.08005115389823914      2.7932169437408447       0.5078619718551636       0.2706235349178314       1.0                      
700                      0.9264269142018424       91881472                 0.0                      289.55596923828125       4101                     0.0                      268.89794921875          46377                    6.40712308883667         3.8033854961395264       -0.014606957323849201    0.07070159912109375      0.9999478459358215       4.653535143006593e-05    0.5236688852310181       0.024761270731687546     6.9794840812683105       0.9896713495254517       1.0                      -1.1346644163131714      1.112278699874878        0.12565796077251434      1.9584555625915527       0.5824602246284485       0.20369867980480194      1.0                      
800                      1.0460144561529159       104988672                0.0                      293.2420349121094        4099                     0.0                      282.9900817871094        43885                    5.561626434326172        2.934389352798462        -0.01749107800424099     0.06452331691980362      1.00011146068573         7.585019193356857e-05    0.5289456248283386       0.02351979911327362      4.994218349456787        0.9949127435684204       1.0                      -0.9960302710533142      0.9876840710639954       0.0648811012506485       1.720210313796997        0.6447657942771912       0.15912885963916779      1.0                      
900                      1.1588808476262622       118095872                0.0                      292.6252136230469        4101                     0.0                      290.0028991699219        42708                    4.882816314697266        2.2077202796936035       -0.013230529613792896    0.07121582329273224      0.9996685981750488       6.818550173193216e-05    0.5376653671264648       0.022440437227487564     3.7401790618896484       0.9971466064453125       1.0                      -0.8888674974441528      0.894157886505127        0.042083002626895905     1.4936156272888184       0.7001674771308899       0.13483096659183502      1.0                      
