Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Exp_Prob                 
0                        0.005105802549256219     131072                   3.9704291820526123       8.828642845153809        5614                     4.076105117797852        9.304885864257812        11916                    1.0702674388885498       2.1456432342529297       -0.0025541565846651793   0.03270111232995987      0.9992679953575134       0.0                      1.6338131427764893       1.0432957410812378       1.0                      
100                      0.10213355620702108      13238272                 9.069718360900879        13.667322158813477       4572                     6.746150493621826        12.37784194946289        1056493                  0.2302621454000473       0.5193597674369812       -0.02941771410405636     0.08342438191175461      1.0000437498092651       0.0                      0.033475570380687714     0.7230739593505859       1.0                      
200                      0.20716097911198933      26345472                 51.873634338378906       67.03538513183594        13886                    15.860918998718262       22.784149169921875       570163                   7.61549711227417         15.255597114562988       -0.012302318587899208    0.05131378397345543      0.9999716877937317       8.811968291411176e-05    0.2136196792125702       3.918052911758423        1.0                      
300                      0.30934034764766694      39452672                 82.04960632324219        101.23316955566406       8277                     104.78765869140625       137.671875               91455                    49.16473388671875        98.3821029663086         -0.026322325691580772    0.04460296779870987      1.0003552436828613       3.0213899663067423e-05   -0.5936392545700073      9.934025764465332        1.0                      
400                      0.41085798740386964      52559872                 160.21847534179688       192.08103942871094       4862                     144.2738800048828        181.13780212402344       69249                    29.661039352416992       59.4184684753418         -0.04819255322217941     0.04608764871954918      1.0000333786010742       2.9269916922203265e-05   0.26277869939804077      7.716495037078857        1.0                      
500                      0.5163551276922226       65667072                 208.05133056640625       238.80462646484375       4228                     171.24600219726562       208.40650939941406       60019                    18.3248233795166         36.7583122253418         -0.05433349683880806     0.04440918192267418      1.0005911588668823       3.7015775887994096e-05   0.31501489877700806      6.070523738861084        1.0                      
600                      0.622458031906022        78774272                 227.70736694335938       256.4038391113281        4150                     204.3410186767578        241.84005737304688       51625                    18.253698348999023       36.615474700927734       -0.05403957515954971     0.05266265943646431      1.000388264656067        5.1214850827818736e-05   0.08102235198020935      6.064093589782715        1.0                      
700                      0.7280024649037256       91881472                 228.26100158691406       257.0571594238281        4110                     219.86154174804688       256.7584228515625        48431                    8.727499008178711        17.54834747314453        -0.04667886719107628     0.03590545803308487      1.0002707242965698       5.189692819840275e-05    0.06856585294008255      4.1975579261779785       1.0                      
800                      0.8327373725175857       104988672                261.7600402832031        289.2209777832031        4096                     231.26683044433594       266.5720520019531        46494                    8.596135139465332        17.28522300720215        -0.04647576063871384     0.04284057766199112      1.0005502700805664       4.268730845069513e-05    0.012535098940134048     4.163221836090088        1.0                      
900                      0.9382654141055213       118095872                258.45648193359375       283.1429443359375        4099                     237.43408203125          270.52130126953125       45752                    5.041497707366943        10.16150951385498        -0.0392574779689312      0.03026123158633709      1.0000770092010498       4.0096951124724e-05      0.025402730330824852     3.1935935020446777       1.0                      
1000                     1.0434723601738611       131203072                260.04058837890625       283.9029541015625        4102                     242.11135864257812       273.74127197265625       45163                    3.7691590785980225       7.608436584472656        -0.03505941852927208     0.04349822923541069      1.000231146812439        3.250960435252637e-05    0.07157682627439499      2.770080089569092        1.0                      
1100                     1.1447865866952471       144310272                262.08099365234375       286.915771484375         4096                     244.95217895507812       275.0901794433594        44969                    8.723895072937012        17.540281295776367       -0.04624547064304352     0.04977569729089737      1.0003108978271484       3.223202293156646e-05    -0.109883151948452       4.1931328773498535       1.0                      
1200                     1.24533709095584         157417472                259.5711669921875        284.1590270996094        4100                     245.9931640625           275.4573974609375        44860                    4.375556468963623        8.823680877685547        -0.036284636706113815    0.04361267015337944      1.0004347562789917       2.981425859616138e-05    -0.002272028475999832    2.9716827869415283       1.0                      
1300                     1.3470395491520564       170524672                267.298828125            289.0426940917969        4098                     249.6685791015625        278.4976501464844        44341                    3.6981289386749268       7.462378978729248        -0.03306069225072861     0.03534698486328125      0.9999789595603943       3.0783688998781145e-05   0.0005887700244784355    2.733189582824707        1.0                      
1400                     1.4445896703667112       183631872                267.7145690917969        288.5069580078125        4099                     250.68670654296875       278.73321533203125       44292                    3.4476158618927          6.959205627441406        -0.03198637813329697     0.03330078348517418      1.000124216079712        2.7605026843957603e-05   0.05516275763511658      2.639784097671509        1.0                      
1500                     1.5533535746071074       196739072                268.370361328125         290.3208312988281        4099                     253.19508361816406       280.0714111328125        44085                    5.320777416229248        10.721677780151367       -0.04006142541766167     0.03316192701458931      1.0007210969924927       3.3965792681556195e-05   -0.07733069360256195     3.278088092803955        1.0                      
1600                     1.6568003735939663       209846272                268.9571838378906        290.2783203125           4096                     253.40240478515625       280.1236267089844        44069                    3.1958022117614746       6.4573869705200195       -0.032891176640987396    0.0315093994140625       1.0000197887420654       2.7529069484444335e-05   0.014084380120038986     2.542348623275757        1.0                      
1700                     1.7557169654634264       222953472                268.9415283203125        290.4656982421875        4097                     254.51858520507812       280.7491760253906        43958                    4.790441513061523        9.656434059143066        -0.037775084376335144    0.04446258768439293      0.9998645782470703       2.1256235413602553e-05   -0.03575291112065315     3.115663766860962        1.0                      
1800                     1.8526395014259551       236060672                271.5032653808594        292.4327697753906        4097                     254.8303680419922        280.8414306640625        43942                    4.157434940338135        8.384451866149902        -0.03479176014661789     0.03452301025390625      1.0000203847885132       2.8219292289577425e-05   -0.008376415818929672    2.9029037952423096       1.0                      
1900                     1.963109202451176        249167872                270.782958984375         291.7112731933594        4097                     255.2527313232422        281.0159912109375        43924                    3.7085864543914795       7.486489772796631        -0.03465857729315758     0.03792572021484375      1.000383734703064        2.5968711270252243e-05   -0.027114370837807655    2.74165678024292         1.0                      
