Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
1500                     2.039789799054464        196739072                57.73041534423828        60.40658950805664        7054                     63.144691467285156       71.48287963867188        180646                   0.13664405047893524      0.15371547639369965      -0.01707140915095806     0.02717132680118084      1.0001641511917114       7.752081643275233e-08    -0.004780003800988197    0.3935173451900482       0.3429453372955322       0.12093281000852585      1.0                      
1600                     2.1753988242149354       209846272                56.62786865234375        59.206539154052734       7156                     63.33538818359375        71.63194274902344        180269                   0.05512038990855217      0.06573216617107391      -0.010611784644424915    0.03388824686408043      0.9998289942741394       0.0                      -0.0003351245541125536   0.2568491995334625       0.3429453372955322       0.12093281000852585      1.0                      
1700                     2.3108473058541614       222953472                57.7551155090332         60.3398323059082         7009                     63.37285614013672        71.60404205322266        180284                   0.057103510946035385     0.0640428438782692       -0.006939326412975788    0.03826141357421875      0.9996238946914673       3.5830909350664797e-09   5.766283720731735e-06    0.2535180151462555       0.3429453372955322       0.12093281000852585      1.0                      
1800                     2.446667919953664        236060672                57.99856185913086        60.56755828857422        7030                     63.389339447021484       71.5757827758789         180373                   0.11411986500024796      0.12886372208595276      -0.014743871986865997    0.02440795861184597      0.9999579787254333       0.0                      -0.0051417164504528046   0.360704630613327        0.3429453372955322       0.12093281000852585      1.0                      
1900                     2.582097853753302        249167872                57.36260223388672        59.87865447998047        7104                     63.422508239746094       71.55670928955078        180437                   0.05082305893301964      0.058199621737003326     -0.007376562803983688    0.0334014892578125       1.000083565711975        0.0                      -0.0018899156711995602   0.24168230593204498      0.3429453372955322       0.12093281000852585      1.0                      
2000                     2.7173439768287873       262275072                57.55207824707031        60.03266525268555        7101                     63.41307830810547        71.4953842163086         180588                   0.06797853857278824      0.06795834749937057      2.019166095124092e-05    0.033721923828125        0.9999611973762512       0.0                      0.005634624045342207     0.26200565695762634      0.3429453372955322       0.12093281000852585      1.0                      
2100                     2.852407467895084        275382272                57.8519287109375         60.315521240234375       7058                     63.52553939819336        71.57943725585938        180345                   0.13972525298595428      0.15552054345607758      -0.015795283019542694    0.03001556359231472      1.000081181526184        1.0617450243444182e-06   -0.00414281664416194     0.3955937325954437       0.3429453372955322       0.12093281000852585      1.0                      
2200                     2.9881645331117843       288489472                57.78519058227539        60.25440216064453        6974                     63.61786651611328        71.64615631103516        180245                   0.1099129319190979       0.11963756382465363      -0.009724651463329792    0.03200836107134819      1.0000907182693481       0.0                      -0.001655544969253242    0.3468681573867798       0.3429453372955322       0.12093281000852585      1.0                      
2300                     3.124339899751875        301596672                58.457332611083984       60.92388153076172        7002                     63.781646728515625       71.79647827148438        179842                   0.0748315081000328       0.09045564383268356      -0.015624153427779675    0.02951507642865181      1.0000604391098022       1.1006999756091318e-08   -0.004908178001642227    0.30156299471855164      0.3429453372955322       0.12093281000852585      1.0                      
2400                     3.2672798603110844       314703872                57.8260612487793         60.218231201171875       7112                     63.71562576293945        71.69944763183594        180087                   0.07311946153640747      0.08080394566059113      -0.007684476673603058    0.02938079833984375      0.9999980330467224       5.42408088222146e-07     0.0026475852355360985    0.2860060930252075       0.3429453372955322       0.12093281000852585      1.0                      
2500                     3.405063361393081        327811072                58.656314849853516       61.06926345825195        6930                     63.67899703979492        71.63003540039062        180283                   0.07349608093500137      0.08680994808673859      -0.013313871808350086    0.0278778076171875       0.9998874664306641       0.0                      -0.004003295674920082    0.29547548294067383      0.3429453372955322       0.12093281000852585      1.0                      
2600                     3.543696566489008        340918272                58.34622573852539        60.73302459716797        6982                     63.65938949584961        71.58403015136719        180365                   0.05564539507031441      0.059642817825078964     -0.003997423220425844    0.03414764627814293      1.000019907951355        0.0                      0.003498437814414501     0.24493592977523804      0.3429453372955322       0.12093281000852585      1.0                      
