Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Exp_Prob                 
0                        0.0076402953598234385    131072                   0.0                      10.035993576049805       5640                     0.0                      10.286823272705078       10564                    79.00232696533203        57.77680587768555        -0.005142184905707836    0.06285705417394638      1.0003236532211304       0.0                      4.246133804321289        2.125619888305664        167.31698608398438       0.9000000357627869       0.982666015625           0.014901249669492245     -4.296773433685303       7.82346773147583         6.470511436462402        1.700344443321228        1.926259160041809        0.16147805750370026      0.46549469232559204      0.195987269282341        0.7926178574562073       2.4259209632873535       0.5332890748977661       1.6806296110153198       1.0                      
100                      0.14775895396868388      13238272                 0.0                      15.797371864318848       4570                     0.0                      13.49527645111084        968817                   4.996875762939453        0.08451969176530838      -0.007155322935432196    0.136454775929451        0.9998733401298523       0.0                      0.9839023947715759       0.18200819194316864      62.51581954956055        1.0                      0.9995147585868835       1.9982565641403198       -2.552227735519409       0.0026531685143709183    0.29358288645744324      0.2430342435836792       0.25085386633872986      0.12541718780994415      0.24725721776485443      0.13449811935424805      0.5544166564941406       2.010470390319824        0.4729727804660797       1.0315009355545044       1.0                      
200                      0.2883041758669747       26345472                 0.0                      23.993560791015625       5277                     0.0                      20.036590576171875       651630                   3.6435158252716064       0.7392778992652893       -0.0017466128338128328   0.12625275552272797      1.0003670454025269       0.0                      0.5811969637870789       0.12277299165725708      25.670129776000977       1.0                      0.9817795157432556       1.855301856994629        -2.3242454528808594      0.009697254747152328     0.862853467464447        0.32701563835144043      0.35133177042007446      0.18014489114284515      0.22327101230621338      0.10152216255664825      0.3792726397514343       1.724104404449463        0.4291971027851105       0.8859714865684509       1.0                      
300                      0.4297349605295393       39452672                 0.0                      30.648452758789062       5473                     0.0                      28.10689353942871        463942                   3.099085569381714        0.9303493499755859       -0.004146911669522524    0.1285140961408615       0.9997692108154297       0.0                      0.4345766603946686       0.10552334040403366      11.394935607910156       1.0                      0.9877700805664062       1.7438291311264038       -2.2116317749023438      0.007756417617201805     0.9670112729072571       0.35750263929367065      0.3334123194217682       0.1905367225408554       0.19359084963798523      0.09179360419511795      0.34125474095344543      1.674883484840393        0.3835190534591675       0.8417152166366577       1.0                      
400                      0.5714810307158364       52559872                 0.0                      35.6384391784668         5338                     0.0                      33.276771545410156       391466                   2.6539876461029053       0.7771884799003601       -0.006514849606901407    0.12973785400390625      0.9999677538871765       0.0                      0.37666282057762146      0.09872444719076157      5.671478748321533        1.0                      0.990234375              1.6987011432647705       -2.2440013885498047      1.9898638129234314e-05   0.883310854434967        0.3723120391368866       0.34607377648353577      0.17096088826656342      0.20096004009246826      0.09167206287384033      0.3242403566837311       1.6389837265014648       0.3805218040943146       0.7949479818344116       1.0                      
500                      0.7224099740717146       65667072                 0.0                      191.0880126953125        4986                     0.0                      43.999229431152344       293329                   5.984779357910156        4.381862163543701        -0.003181773005053401    0.12238769978284836      0.9996578097343445       1.507994056737516e-05    0.3212197721004486       0.09197503328323364      3.379753828048706        1.0                      0.9946441650390625       1.8224058151245117       -2.210484266281128       0.1154567301273346       2.1049227714538574       0.30751362442970276      0.27982839941978455      0.1795189082622528       0.11256352812051773      0.0628385841846466       0.23378780484199524      1.5721429586410522       0.30648088455200195      0.617031991481781        1.0                      
600                      0.868348390923606        78774272                 0.0                      271.2979431152344        4142                     0.0                      150.20811462402344       83422                    7.210559844970703        5.52426815032959         -0.014603318646550179    0.12218322604894638      0.9996148943901062       1.831218833103776e-05    0.34017905592918396      0.10837676376104355      2.38505482673645         1.0                      0.9985367059707642       1.805198073387146        -1.9442933797836304      0.10263478755950928      2.3327720165252686       0.3550110161304474       0.25857430696487427      0.10781797021627426      0.08066131919622421      0.048991989344358444     0.19676494598388672      1.5485056638717651       0.270082950592041        0.5703429579734802       1.0                      
700                      1.0130293979909686       91881472                 0.0                      277.1251220703125        4124                     0.0                      263.263671875            47295                    3.9123551845550537       2.1395537853240967       -0.018218189477920532    0.13406983017921448      0.9997859001159668       8.738599717617035e-06    0.3582039773464203       0.11339515447616577      1.7813023328781128       1.0                      0.9995971918106079       1.6891908645629883       -1.8111168146133423      0.02476826123893261      1.4621776342391968       0.3982070982456207       0.27076295018196106      0.08233890682458878      0.05660587176680565      0.04169226437807083      0.16636279225349426      1.438387155532837        0.2429734170436859       0.5106585621833801       1.0                      
800                      1.1460066394673454       104988672                0.0                      277.518310546875         4125                     0.0                      273.7996520996094        45268                    3.1275534629821777       1.284842848777771        -0.012412846088409424    0.14206695556640625      0.9997612833976746       6.286872576310998e-06    0.3710246682167053       0.11783044785261154      1.415369987487793        1.0                      0.9999160766601562       1.626792311668396        -1.7196282148361206      0.03231295198202133      1.1706370115280151       0.42793208360671997      0.2740715444087982       0.0762583315372467       0.04869712144136429      0.03680691495537758      0.15110385417938232      1.347551941871643        0.2396521121263504       0.4721585810184479       1.0                      
900                      1.270122798482577        118095872                0.0                      285.8849182128906        4102                     0.0                      278.76092529296875       44420                    2.849700450897217        0.913473904132843        -0.007470928132534027    0.16969910264015198      0.9999018907546997       5.214709744905122e-06    0.3887394368648529       0.12040334939956665      1.1343010663986206       1.0                      0.9999756217002869       1.518309235572815        -1.6193087100982666      0.03052326664328575      0.8708415627479553       0.46411535143852234      0.28086599707603455      0.07094842940568924      0.04450792446732521      0.03357381373643875      0.14070123434066772      1.2951730489730835       0.24001377820968628      0.47011062502861023      1.0                      
