Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Exp_Prob                 
0                        0.008989558153682286     131072                   0.0                      12.877209663391113       4129                     0.0                      12.970999717712402       8241                     272.6491394042969        250.70278930664062       -0.004240149632096291    0.04275665432214737      0.9999014139175415       0.0                      4.390116214752197        2.252335548400879        165.52001953125          0.824999988079071        0.9508285522460938       0.01068606786429882      -3.948122501373291       21.068199157714844       12.16658878326416        3.8415865898132324       2.294442653656006        0.1068568080663681       0.3073832392692566       0.11238978803157806      0.584833025932312        1.6459431648254395       0.4448254704475403       1.5976965427398682       1.0                      
100                      0.2647146119011773       13238272                 0.0                      14.720009803771973       4168                     0.0                      13.898659706115723       940937                   4.746861934661865        0.07675286382436752      -0.0024040844291448593   0.08847656100988388      1.0000746250152588       0.0                      0.9345024228096008       0.16108852624893188      59.875823974609375       1.0                      0.998852550983429        1.855989694595337        -3.0141122341156006      0.0004642221028916538    0.2811688780784607       0.20183447003364563      0.2735002934932709       0.12911061942577362      0.15433593094348907      0.08184828609228134      0.3477938175201416       1.1335704326629639       0.4372924268245697       1.0159435272216797       1.0                      
200                      0.5175207506948047       26345472                 0.0                      16.087451934814453       4128                     0.0                      15.249978065490723       857442                   2.6718878746032715       0.09953565150499344      0.001461965381167829     0.09575653076171875      0.9999468922615051       0.0                      0.5141780972480774       0.0999409481883049       24.77300262451172        1.0                      0.9876510500907898       2.0806920528411865       -2.79990553855896        0.004187039099633694     0.31660494208335876      0.24376383423805237      0.325562059879303        0.1354459822177887       0.1123240515589714       0.05988668277859688      0.24369068443775177      1.0712544918060303       0.4439671039581299       0.860950231552124        1.0                      
300                      0.767231415046586        39452672                 0.0                      23.063817977905273       4184                     0.0                      17.732656478881836       736737                   1.7825340032577515       0.10428416728973389      0.000496930442750454     0.10222931206226349      0.9999265670776367       0.0                      0.33555060625076294      0.07025250047445297      11.266142845153809       1.0                      0.984149158000946        2.1592013835906982       -3.0319063663482666      0.00788885448127985      0.32347580790519714      0.21303477883338928      0.32159990072250366      0.16863882541656494      0.14259983599185944      0.06733913719654083      0.25563082098960876      1.1261731386184692       0.4550611972808838       0.8715118169784546       1.0                      
400                      1.0146059426996443       52559872                 0.0                      33.52286911010742        5770                     0.0                      24.594287872314453       530439                   1.4698072671890259       0.17570868134498596      -0.0025217095389962196   0.12713013589382172      0.9995393753051758       0.0                      0.2593240439891815       0.05911746248602867      5.919393539428711        1.0                      0.9813262820243835       2.2846367359161377       -3.084826946258545       0.007392250467091799     0.4205068349838257       0.19503182172775269      0.3185512125492096       0.2150479555130005       0.1837000548839569       0.061305828392505646     0.23265285789966583      1.183050274848938        0.4733947515487671       0.9187180399894714       1.0                      
500                      1.2624444700611963       65667072                 0.0                      38.60343551635742        5240                     0.0                      31.589855194091797       412376                   1.3903547525405884       0.2916398346424103       -0.004141401965171099    0.16248932480812073      0.9996175169944763       0.0                      0.22057132422924042      0.05251656845211983      3.8304786682128906       1.0                      0.9825240969657898       2.4062445163726807       -3.136976957321167       -0.0341319665312767      0.5449101328849792       0.1734657883644104       0.30320417881011963      0.25184300541877747      0.1921001374721527       0.05865967646241188      0.2298460304737091       1.1001627445220947       0.4703049957752228       0.909348726272583        1.0                      
600                      1.515712925195694        78774272                 0.0                      59.21270751953125        8828                     0.0                      38.80705261230469        335250                   1.429884672164917        0.3998936712741852       -0.004834101535379887    0.145283505320549        0.9990751147270203       0.0                      0.20696499943733215      0.05351637676358223      3.0356836318969727       1.0                      0.983020007610321        2.5564687252044678       -3.0685272216796875      0.028105035424232483     0.635577917098999        0.17174285650253296      0.296008825302124        0.29316428303718567      0.15054716169834137      0.055435020476579666     0.20953750610351562      1.198060154914856        0.45583221316337585      0.9281361699104309       1.0                      
700                      1.7791538114680183       91881472                 0.0                      98.04033660888672        9686                     0.0                      48.966796875             264652                   1.502545714378357        0.5620200634002686       -0.0054151457734405994   0.1304931640625          0.9994699358940125       0.0                      0.1891881674528122       0.050027865916490555     2.8105335235595703       1.0                      0.9870803952217102       2.764923572540283        -3.0741941928863525      0.021323325112462044     0.7514640688896179       0.15224523842334747      0.2622029781341553       0.31238242983818054      0.16174136102199554      0.05334501340985298      0.20725543797016144      1.1559607982635498       0.4350705146789551       1.0018820762634277       1.0                      
800                      2.033969841731919        104988672                0.0                      281.8792419433594        4157                     0.0                      76.54232788085938        166816                   2.414663553237915        1.4904435873031616       -0.0035800603218376637   0.17237548530101776      0.9991642832756042       0.0                      0.18556003272533417      0.05579977110028267      2.713914155960083        1.0                      0.9920608401298523       3.033707618713379        -2.9496047496795654      0.08587181568145752      1.2227197885513306       0.14800459146499634      0.21394941210746765      0.27717891335487366      0.1358424872159958       0.04317053407430649      0.1565358191728592       1.034177303314209        0.3367549777030945       0.9732386469841003       1.0                      
900                      2.285652185877164        118095872                0.0                      286.7193908691406        4109                     0.0                      194.17906188964844       64506                    2.9222066402435303       1.9036058187484741       -0.01797245442867279     0.1484725922346115       0.9998459219932556       0.0                      0.207314595580101        0.07357102632522583      2.4849884510040283       1.0                      0.9958938956260681       3.11281681060791         -2.6314055919647217      0.03314844146370888      1.3820903301239014       0.181954026222229        0.18621312081813812      0.11623943597078323      0.10955661535263062      0.033413972705602646     0.12446904927492142      0.9685553908348083       0.2821648418903351       0.968976616859436        1.0                      
